key	text	tooltip
#Loc;1;text/!!!db/ghs_land_unit_short_description.loc		
unit_description_short_texts_text_ghs_cth_cha_jade_blood_taoist	The Jade-Blooded Taoists of Yongchang Spirit Palace obey only the summons of the Jade Court. They study the Wind of Life to master their desires, but remain under the watchful eyes of the Moonlight Division by the Jade Dragon's decree.	false
unit_description_short_texts_text_ghs_cth_cav_jade_lion_rider	The Jade Lions, with their fierce gaze, stand as stalwart guardians, repelling all evil spirits and demons with their commanding presence.	false
unit_description_short_texts_text_ghs_cth_cav_jet_lion_rider	Jet Lions protect the mountain gates with unyielding dignity. In times of rebellion, they answer the Emperor's command to cleanse the land of corruption.	false
unit_description_short_texts_text_ghs_cth_inf_secret_follower	The Moonlight Division is a secretive organization directly under the Moon Empress's command. With silver avian emblems on their black robes, they secure victories in unreachable places for Cathay's people.	false
unit_description_short_texts_text_ghs_cth_cha_hongying	Hong Ying, the "Moon Raven," is rumored to carry the bloodline of the shadow dragon. A trusted draconic lord of the Moon Empress, he oversees the Moonlight Division and commands a significant part of the Onyx Crow Sentinels.	false
unit_description_short_texts_text_ghs_cth_inf_royal_guard_crowmen	The Onyx Crow Sentinels are elite operatives of the Moon Empress, crafted by her mastery of divination winds. They serve as the sharpest eyes and deadliest blades of Cathay.	false
unit_description_short_texts_text_ghs_lzd_mon_chief_stegadon	The oldest and most ferocious creation of the Star-God, the Stegadon is only approachable by those chosen by Ixti. Its mighty bows and blowpipes rain thunderous death on enemies.	false
unit_description_short_texts_text_ghs_lzd_mon_giant_ripperdactyl	The largest and most bloodthirsty Ripperdactyls wield razor-sharp talons capable of decapitating foes, leaving trails of entrails and severed limbs in their wake.	false
unit_description_short_texts_text_dwf_flying_irondrakes_01	Experimental jetpacks provide enough thrust to counter the recoil of Iron Drakes. Veterans roasting Skaven and Greenskins call themselves "Flying Dragons".	true
unit_description_short_texts_text_dwf_goat_hammer	Elite warriors mount rare black mountain goats. One hammer strike can either shatter enemy skulls or dislocate their own arms.	true
unit_description_short_texts_text_dwf_goat_ironbreaker	"Burnt Iron"? What rebellious engineer named this new weapon? Aren’t these goats just singed from battle smoke?	true
unit_description_short_texts_text_dwf_goat_mad	Gentle goats are a vital meat source for Dwarfs, but the unruly troublemakers are sent to the battlefield before the kitchen.	true
unit_description_short_texts_text_dwf_goat_ranger	A few pints of Bugman’s Brew can give you incredible strength, but I say: Dawi! Aim properly and don’t shoot my beer barrels!	true
unit_description_short_texts_text_dwf_goat_slayer	Though these Slayers can leap higher than most Dwarfs, claiming they can strike a flying dragon? Grungni, protect them!	true
unit_description_short_texts_text_dwf_goat_warrior	Remember, lad, when patrolling and spotting a Goblin, stay patient and hide. There may be a horde of Greenskins right behind him. —Modin Whitebeard, Longbeard Warrior.	true
unit_description_short_texts_text_dwf_grimnir	Grimnir, the god of war, protected the fledgling Dwarfs from monstrous threats and is especially revered by oath-bound Slayers.	true
unit_description_short_texts_text_dwf_grungni	Grungni, god of mining and forging, is the father of Dwarfs, teaching them to extract and shape the precious metals within the earth.	true
unit_description_short_texts_text_dwf_morgrim	Morgrim, god of engineering, was the first to instruct Dwarf clans in the creation of tools, machinery, and engines of war.	true
unit_description_short_texts_text_dwf_rune_guard_axe_and_cannon	The greatest Runecrafters and Engineers Guilds collaborated to create tireless sentinels. These marvels are both a source of immense pride and profound sorrow for the Dwarfs.	true
unit_description_short_texts_text_dwf_rune_guard_axe_and_shield	The greatest Runecrafters and Engineers Guilds collaborated to create tireless sentinels. These marvels are both a source of immense pride and profound sorrow for the Dwarfs.	true
unit_description_short_texts_text_dwf_rune_guard_dual_hammer	The greatest Runecrafters and Engineers Guilds collaborated to create tireless sentinels. These marvels are both a source of immense pride and profound sorrow for the Dwarfs.	true
unit_description_short_texts_text_dwf_rune_guard_giant	These colossus guardians bear runes forged by Grungni himself amidst thunderous storms. Those who approach too closely are reduced to charred remains.	true
unit_description_short_texts_text_dwf_runeguard_catling	Rune Guardians (Runic Gatling Guns)	true
unit_description_short_texts_text_dwf_valaya	Valaya, the creator of runes, grudges, and oaths, embodies Dwarven culture. She governs healing, unity, family, and is also the goddess of ale.	true
unit_description_historical_texts_text_ghs_kho_inf_armour_bloodletter_champions	Each Blade Legion is led by a rabid Bloodletter, gathering skulls not for themselves but for their enraged master. While they appear as taskmasters for the warhounds, these champions have their own prey to hunt. Unlike the fleshy hounds, they comprehend the minds of mortal prey, predicting their every move.	true
unit_description_short_texts_text_ghs_kho_inf_armour_bloodletter_champions	Each Blade Legion follows a rabid Bloodletter commander. Clad in blood-soaked heavy armor and wielding brass hellblades, they violently claim skulls from the weak with calculated fury.	true
unit_description_short_texts_text_kho_bloodcrucher_giant	How does one "crush" blood? Better with this unendingly massive axe. These lunatics are truly insane.	true
unit_description_short_texts_text_kho_blooddragon	Rather than offering a dragon’s skull in sacrifice, the Blood God prefers branding their souls with blazing marks, binding them to eternal servitude.	true
unit_description_short_texts_text_kho_eighth_legion_bloodthirster	The fearsome lieutenants of Ka’Bandha hail from the Eighth Legion of Unbridled Wrath. Though marked by failure in Khorne's eyes, the Blood Hunt offers them a chance to reclaim honor.	true
unit_description_short_texts_text_kho_slaughterbrute	Brave Chaos warriors must endure grueling rituals, repeatedly piercing the beast with a magical blade to tame this massive blood-crazed monstrosity.	true
unit_description_short_texts_text_kho_warrior_flameshooter	Cowards' souls are trapped within these infernal constructs, their sole value as fuel for the creation of hellfire.	true
unit_description_short_texts_text_kho_warrior_skullthrower	Nothing pleases the Blood God more than skulls. If one thrown skull yields more, prepare for ascension!	true
unit_description_short_texts_text_ghs_cav_ksl_flying_eagle_rider	Snow Eagles soar through the skies as storms descend. Their icy arrows are nocked and ready to strike.	true
unit_description_short_texts_text_ghs_cav_ksl_golden_knight_bear	Only the bravest warriors among the royal guard earn the title of Golden Knight. Each knight is gifted a newly forged, radiant armor said to hold enchantments.	true
unit_description_short_texts_text_ghs_cav_ksl_ice_guard_bear	The Ice Court crafts armor from millennia-old ice, both lightweight and durable. The Ice Guard and their mighty bears, armed and ready, embody unparalleled grace and ferocity.	true
